Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2009-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2009-01-01;0000;-3,54;
2009-01-01;0100;-3,54;
2009-01-01;0200;-3,54;
2009-01-01;0300;-3,423;
2009-01-01;0400;-3,54;
2009-01-01;0500;-3,537;
2009-01-01;0600;-3,537;
2009-01-01;0700;-3,526;
2009-01-01;0800;-3,54;
2009-01-01;0900;52,466;
2009-01-01;1000;490,727;
2009-01-01;1100;1368,278;
2009-01-01;1200;2092,935;
2009-01-01;1300;2682,714;
2009-01-01;1400;3219,424;
2009-01-01;1500;3224,46;
2009-01-01;1600;3295,92;
2009-01-01;1700;3147,461;
2009-01-01;1800;2569,674;
2009-01-01;1900;1846,548;
2009-01-01;2000;1003,122;
2009-01-01;2100;178,533;
2009-01-01;2200;-3,51;
2009-01-01;2300;-3,54;
2009-01-02;0000;-3,54;
2009-01-02;0100;-3,54;
2009-01-02;0200;-3,54;
2009-01-02;0300;-3,54;
2009-01-02;0400;-3,538;
2009-01-02;0500;-3,538;
2009-01-02;0600;-3,54;
2009-01-02;0700;-3,54;
2009-01-02;0800;-3,54;
2009-01-02;0900;62,824;
2009-01-02;1000;598,69;
2009-01-02;1100;1509,98;
2009-01-02;1200;2294,232;
2009-01-02;1300;3185,671;
2009-01-02;1400;3533,838;
2009-01-02;1500;3597,876;
2009-01-02;1600;3230,01;
2009-01-02;1700;2668,141;
2009-01-02;1800;2465,833;
2009-01-02;1900;1723,721;
2009-01-02;2000;856,993;
2009-01-02;2100;150,702;
2009-01-02;2200;-3,414;
2009-01-02;2300;-3,54;
2009-01-03;0000;-3,54;
2009-01-03;0100;-3,54;
2009-01-03;0200;-3,54;
2009-01-03;0300;-3,54;
2009-01-03;0400;-3,538;
2009-01-03;0500;-3,54;
2009-01-03;0600;-3,54;
2009-01-03;0700;-3,45;
2009-01-03;0800;-3,54;
2009-01-03;0900;46,218;
2009-01-03;1000;552,893;
2009-01-03;1100;1273,569;
2009-01-03;1200;2376,343;
2009-01-03;1300;3153,466;
2009-01-03;1400;3673,154;
2009-01-03;1500;3616,034;
2009-01-03;1600;3566,936;
2009-01-03;1700;2935,037;
2009-01-03;1800;2368,001;
2009-01-03;1900;1590,933;
2009-01-03;2000;924,241;
2009-01-03;2100;193,08;
2009-01-03;2200;-3,524;
2009-01-03;2300;-3,54;
2009-01-04;0000;-3,54;
2009-01-04;0100;-3,54;
2009-01-04;0200;-3,54;
2009-01-04;0300;-3,54;
2009-01-04;0400;-3,54;
2009-01-04;0500;-3,54;
2009-01-04;0600;-3,535;
2009-01-04;0700;-3,54;
2009-01-04;0800;-3,538;
2009-01-04;0900;31,597;
2009-01-04;1000;509,306;
2009-01-04;1100;1060,283;
2009-01-04;1200;2139,104;
2009-01-04;1300;2828,005;
2009-01-04;1400;3405,854;
2009-01-04;1500;3290,298;
2009-01-04;1600;3652,934;
2009-01-04;1700;3341,058;
2009-01-04;1800;2630,441;
2009-01-04;1900;1743,683;
2009-01-04;2000;913,338;
2009-01-04;2100;191,604;
2009-01-04;2200;-3,493;
2009-01-04;2300;-3,54;
2009-01-05;0000;-3,54;
2009-01-05;0100;-3,54;
2009-01-05;0200;-3,54;
2009-01-05;0300;-3,54;
2009-01-05;0400;-3,54;
2009-01-05;0500;-3,54;
2009-01-05;0600;-3,457;
2009-01-05;0700;-3,54;
2009-01-05;0800;-3,529;
2009-01-05;0900;27,257;
2009-01-05;1000;538,368;
2009-01-05;1100;1311,651;
2009-01-05;1200;2263,119;
2009-01-05;1300;3084,795;
2009-01-05;1400;3128,775;
2009-01-05;1500;3604,756;
2009-01-05;1600;3594,246;
2009-01-05;1700;3000,744;
2009-01-05;1800;2331,621;
2009-01-05;1900;1762,748;
2009-01-05;2000;954,288;
2009-01-05;2100;193,314;
2009-01-05;2200;-3,509;
2009-01-05;2300;-3,54;
2009-01-06;0000;-3,54;
2009-01-06;0100;-3,54;
2009-01-06;0200;-3,538;
2009-01-06;0300;-3,54;
2009-01-06;0400;-3,54;
2009-01-06;0500;-3,54;
2009-01-06;0600;-3,54;
2009-01-06;0700;-3,538;
2009-01-06;0800;-3,54;
2009-01-06;0900;52,087;
2009-01-06;1000;523,697;
2009-01-06;1100;1388,946;
2009-01-06;1200;2327,102;
2009-01-06;1300;2571,549;
2009-01-06;1400;3453,709;
2009-01-06;1500;3071,621;
2009-01-06;1600;2899,175;
2009-01-06;1700;2615,543;
2009-01-06;1800;2118,408;
2009-01-06;1900;1463,225;
2009-01-06;2000;503,367;
2009-01-06;2100;106,163;
2009-01-06;2200;-3,538;
2009-01-06;2300;-3,54;
2009-01-07;0000;-3,54;
2009-01-07;0100;-3,54;
2009-01-07;0200;-3,54;
2009-01-07;0300;-3,538;
2009-01-07;0400;-3,54;
2009-01-07;0500;-3,54;
2009-01-07;0600;-3,486;
2009-01-07;0700;-3,54;
2009-01-07;0800;-3,54;
2009-01-07;0900;91,843;
2009-01-07;1000;735,663;
2009-01-07;1100;1521,076;
2009-01-07;1200;2433,769;
2009-01-07;1300;2867,993;
2009-01-07;1400;3606,617;
2009-01-07;1500;3693,285;
2009-01-07;1600;3810,251;
2009-01-07;1700;3149,219;
2009-01-07;1800;2498,142;
2009-01-07;1900;1348,196;
2009-01-07;2000;534,304;
2009-01-07;2100;190,05;
2009-01-07;2200;-3,54;
2009-01-07;2300;-3,54;
2009-01-08;0000;-3,54;
2009-01-08;0100;-3,54;
2009-01-08;0200;-3,54;
2009-01-08;0300;-3,54;
2009-01-08;0400;-3,54;
2009-01-08;0500;-3,537;
2009-01-08;0600;-3,54;
2009-01-08;0700;-3,54;
2009-01-08;0800;-3,54;
2009-01-08;0900;34,186;
2009-01-08;1000;623,75;
2009-01-08;1100;1430,414;
2009-01-08;1200;1991,811;
2009-01-08;1300;2791,715;
2009-01-08;1400;2831,859;
2009-01-08;1500;3234,818;
2009-01-08;1600;2475,13;
2009-01-08;1700;2582,828;
2009-01-08;1800;2093,038;
2009-01-08;1900;1487,068;
2009-01-08;2000;1122,525;
2009-01-08;2100;221,107;
2009-01-08;2200;-3,479;
2009-01-08;2300;-3,54;
2009-01-09;0000;-3,54;
2009-01-09;0100;-3,54;
2009-01-09;0200;-3,54;
2009-01-09;0300;-3,532;
2009-01-09;0400;-3,538;
2009-01-09;0500;-3,54;
2009-01-09;0600;-3,54;
2009-01-09;0700;-3,54;
2009-01-09;0800;-3,54;
2009-01-09;0900;39,78;
2009-01-09;1000;357,687;
2009-01-09;1100;684,213;
2009-01-09;1200;1516,878;
2009-01-09;1300;2198,916;
2009-01-09;1400;2207,492;
2009-01-09;1500;2644,715;
